"Maquinaria","Hardware","Software","CapacitacionP","EstudioMer","Ventas_anuales2014"
"No","No","No","No","No",213123.0
"Si","No","No","Si","No",3.9220591E7
"No","No","No","No","No",1966635.0
"No","No","No","No","No",15000.0
"Si","Si","Si","No","No",5419992.0
"No","No","No","No","No",292845.0
"No","No","No","No","No",1.7401282E7
"No","No","No","No","No",349338.0
"No","No","No","No","No",593018.0
"No","No","No","No","No",8585935.0
"No","No","No","No","No",6135018.0
"No","No","No","No","No",3125389.0
"No","No","No","No","No",3239785.0
"Si","No","No","No","No",301433.0
"Si","Si","Si","Si","No",321759.0
"No","No","No","No","No",201699.0
"No","No","No","No","No",327000.0
"No","No","No","No","No",232740.0
"No","No","No","No","No",100000.0
"No","No","No","No","No",100000.0
"No","No","Si","No","No",4271336.0
"No","No","No","No","No",442438.0
"No","No","No","No","No",100152.0
"Si","Si","Si","Si","No",342537.0
"Si","Si","Si","No","No",300000.0
"No","No","No","No","No",240000.0
"No","No","No","No","No",197531.0
"Si","Si","No","No","No",40000.0
"No","No","No","No","No",388575.0
"No","No","No","No","No",22000.0
"No","No","No","No","No",3850194.0
"Si","No","No","No","No",730000.0
"No","No","No","No","No",6559962.0
"No","No","No","No","No",253950.0
"No","No","No","No","No",190000.0
"No","No","Si","Si","No",2602611.0
"No","No","No","No","No",662397.0
"No","No","No","No","No",457225.0
"No","No","No","No","No",2580762.0
"Si","No","No","No","No",1.89215926E8
"No","No","No","No","No",3349930.0
"Si","Si","No","Si","Si",3.81441062E8
"No","Si","Si","Si","No",5024428.0
"No","No","No","No","No",697200.0
"Si","No","Si","No","No",1.0944901E7
"No","No","No","No","No",8.2379388E7
"No","No","No","No","No",500000.0
"No","No","No","No","No",4557728.0
"No","No","No","No","No",3.203913E7
"No","No","No","No","No",1.5221248E7
"No","No","No","No","No",6.9602698E7
"No","No","No","No","No",230000.0
"No","No","No","No","No",2.7807405E7
"No","No","No","No","No",346751.0
"No","Si","Si","No","Si",3900000.0
"Si","No","No","No","No",774932.0
"No","No","No","No","No",4971621.0
"No","No","No","No","No",4000000.0
"No","No","No","No","No",2764349.0
"No","No","Si","Si","Si",1955491.0
"No","No","No","No","No",951532.0
"No","No","No","No","No",1.8781529E7
"Si","Si","Si","Si","Si",1.30063546E8
"No","No","No","No","No",664965.0
"No","No","No","No","No",3183863.0
"No","No","No","No","No",455356.0
"No","No","No","No","No",75658.0
"No","No","No","No","No",50000.0
"No","No","No","No","No",1838823.0
"No","No","Si","No","No",429417.0
"No","No","No","No","No",160000.0
"Si","Si","Si","Si","No",1600000.0
"No","No","No","No","No",247987.0
"No","No","Si","No","No",4099137.0
"No","No","No","No","No",573952.0
"No","No","No","No","No",370949.0
"No","No","No","No","No",142630.0
"No","No","No","No","No",1.2885819E7
"No","No","No","No","No",722754.0
"No","No","No","No","No",1911220.0
"No","No","No","No","No",322627.0
"No","No","No","No","No",1.5987536E7
"No","No","No","No","No",2.7270182E7
"No","No","No","No","No",3222756.0
"No","No","No","No","No",1859056.0
"No","No","No","No","No",5050593.0
"Si","No","No","No","No",4588407.0
"Si","No","Si","Si","No",1277948.0
"No","No","No","No","No",1.2162352E7
"No","No","No","No","No",386829.0
"No","No","No","No","No",4875309.0
"No","No","No","No","No",2272898.0
"Si","Si","No","No","No",1.3E7
"No","No","No","No","No",1250000.0
"No","No","No","No","No",4525103.0
"Si","Si","No","No","No",7645506.0
"No","No","No","No","No",1112692.0
"Si","No","Si","Si","No",212493.0
"No","No","No","No","No",393720.0
"No","No","No","No","No",1.3096E7
"No","No","No","No","No",3612767.0
"No","No","No","No","No",1171750.0
"Si","No","No","No","No",700000.0
"No","No","No","No","No",5867626.0
"Si","No","No","No","No",9900000.0
"Si","No","No","No","No",1260643.0
"No","No","No","No","No",50000.0
"No","No","No","No","No",7907589.0
"No","No","No","No","No",425000.0
"Si","No","No","Si","No",3517643.0
"No","No","No","No","No",873259.0
"No","No","No","No","No",579358.0
"No","No","No","No","No",547798.0
"No","No","No","No","No",748642.0
"No","No","No","No","No",431847.0
"Si","No","No","No","No",522878.0
"Si","Si","No","No","No",99499.0
"No","No","No","No","No",581088.0
"Si","No","No","No","No",182390.0
"Si","Si","No","Si","No",454991.0
"No","No","No","No","No",323037.0
"No","Si","No","No","No",292499.0
"No","No","No","No","No",171500.0
"Si","No","No","Si","No",392980.0
"No","No","No","No","No",564236.0
"No","Si","Si","No","No",46670.0
"No","No","Si","No","No",2308794.0
"No","No","No","No","No",723084.0
"No","No","No","No","No",423586.0
"No","Si","Si","No","No",425000.0
"Si","No","No","No","No",1389519.0
"No","No","No","No","No",377242.0
"No","No","No","No","No",497143.0
"No","No","No","No","No",104000.0
"Si","No","Si","No","No",320404.0
"No","No","Si","No","No",250511.0
"No","No","No","No","No",150000.0
"No","No","Si","No","No",330250.0
"No","No","Si","No","No",6634933.0
"Si","Si","Si","No","No",1560657.0
"No","No","No","No","No",1123517.0
"Si","No","No","Si","No",300963.0
"Si","No","No","No","No",604875.0
"No","No","No","No","No",282000.0
"No","No","No","No","No",256946.0
"Si","No","No","Si","Si",492235.0
"No","No","No","No","No",115680.0
"No","No","No","No","No",9736084.0
"No","No","No","No","No",5700000.0
"No","No","No","No","No",326383.0
"Si","No","No","Si","No",1044618.0
"Si","No","No","No","No",2128071.0
"No","No","No","No","No",497388.0
"No","No","No","No","No",172397.0
"No","No","No","No","No",907232.0
"Si","No","No","No","Si",211346.0
"No","No","No","No","No",8528683.0
"Si","No","No","No","No",135970.0
"Si","No","No","No","No",382801.0
"No","No","No","No","No",8000.0
"No","No","No","No","No",977000.0
"No","No","No","No","No",80000.0
"Si","No","Si","Si","No",475850.0
"Si","No","No","No","No",166542.0
"No","No","No","No","No",60000.0
"No","No","No","No","No",1287299.0
"No","Si","Si","No","No",380000.0
"No","No","No","No","No",1625000.0
"Si","Si","Si","Si","No",420000.0
"No","No","No","Si","No",849428.0
"No","No","No","No","No",1348145.0
"No","No","No","No","No",2611742.0
"No","No","No","No","No",172540.0
"Si","No","Si","No","No",600000.0
"Si","No","No","Si","No",750000.0
"No","No","No","No","No",1904899.0
"No","Si","No","No","No",324676.0
"No","No","No","No","No",4905450.0
"Si","No","No","No","No",100000.0
"No","No","No","No","No",259336.0
"No","No","Si","Si","No",1333305.0
"No","No","No","No","No",1244402.0
"No","No","Si","No","No",4241949.0
"No","No","No","No","No",983936.0
"No","No","No","No","No",68963.0
"Si","Si","No","No","No",70000.0
"No","No","No","No","No",1887709.0
"No","No","No","No","No",728540.0
"No","No","No","Si","No",4220018.0
"Si","No","No","No","No",1.4142532E7
"No","No","No","No","No",388664.0
"No","No","No","No","No",583637.0
"No","No","No","No","No",270497.0
"No","No","No","No","No",197797.0
"No","No","No","No","No",376235.0
"No","No","No","No","No",8132090.0
"Si","No","No","No","No",616000.0
"Si","No","No","No","No",5091881.0
"No","No","No","No","No",230000.0
"No","No","No","No","No",558071.0
"No","Si","Si","Si","No",1504842.0
"Si","Si","No","No","No",1300000.0
"No","No","No","No","No",1153232.0
"No","No","No","No","No",161460.0
"No","No","No","No","No",1.467718E7
"No","No","No","No","No",9471685.0
"No","No","No","No","No",341545.0
"Si","No","Si","Si","No",507516.0
"No","No","No","No","No",1.9613871E7
"No","No","No","No","No",230700.0
"No","No","Si","No","No",1258000.0
"No","No","No","No","No",48208.0
"Si","Si","No","No","No",891193.0
"No","No","No","No","No",536397.0
"No","No","No","No","No",146494.0
"Si","Si","Si","Si","No",1784033.0
"No","No","Si","Si","No",3.1591187E7
"No","No","No","No","No",126685.0
"No","No","No","No","No",727308.0
"Si","No","Si","Si","No",1400000.0
"No","No","No","No","No",237000.0
"Si","No","No","Si","No",1365324.0
"No","No","No","Si","No",450000.0
"No","No","Si","No","No",5928409.0
"Si","Si","Si","Si","No",8038666.0
"No","Si","No","No","No",671926.0
"No","No","No","No","No",394000.0
"No","No","No","No","No",233499.0
"No","No","No","No","No",299471.0
"No","No","No","No","No",211464.0
"Si","Si","No","No","No",3.1899922E7
"Si","Si","Si","No","No",2.8E7
"Si","No","No","No","No",7.3518E8
"No","No","Si","No","No",2.147483647E9
"No","No","No","No","No",1.1618973E7
"No","No","No","No","No",5.1103732E7
"No","No","No","No","No",3.14575144E8
"No","No","No","No","No",2.5552132E7
"Si","Si","Si","No","No",1.3768682E7
"Si","Si","Si","Si","Si",1.6216E7
"Si","No","No","No","No",1915282.0
"No","No","No","No","No",2.4901852E7
"Si","Si","No","Si","No",2.4E7
"Si","Si","No","No","No",7192128.0
"No","No","No","No","No",5.3362827E7
"No","No","No","Si","Si",1.6918E7
"No","Si","Si","Si","No",2.026219E8
"No","No","No","No","No",2.1390301E7
"Si","Si","Si","Si","No",1.27184727E8
"No","No","No","No","No",1.0116591E7
"No","No","No","No","No",3.3522952E7
"No","No","No","No","No",3.64980747E8
"No","No","No","No","No",9.126626E7
"Si","No","No","No","No",5.7149987E7
"No","No","No","No","No",6714368.0
"No","No","No","No","No",4000084.0
"No","No","No","No","No",7.0098317E7
"No","No","No","Si","No",3809000.0
"Si","No","No","Si","No",3.9524025E7
"No","Si","Si","Si","No",4.6443E7
"No","No","No","No","No",8.1983839E7
"Si","Si","Si","Si","Si",2.10688095E8
"No","No","No","Si","No",1.6974553E7
"No","No","No","No","No",1.0585906E7
"No","No","No","No","No",2138471.0
"Si","No","No","No","No",9803143.0
"No","No","No","No","No",9020223.0
"No","Si","Si","No","No",8257000.0
"No","Si","No","Si","No",3073107.0
"Si","No","No","No","No",6649468.0
"No","No","No","No","No",1.5146698E7
"Si","Si","No","No","No",1.8134452E8
"No","No","No","No","No",2581773.0
"Si","No","No","No","No",770000.0
"No","Si","No","Si","No",1.1634071E7
"No","No","No","No","No",3660728.0
"Si","No","No","No","No",1.21925E7
"No","Si","Si","No","No",4.2113057E7
"Si","No","Si","No","No",4526642.0
"Si","No","Si","Si","No",3.6877906E7
"Si","No","Si","Si","Si",1.6775378E7
"No","No","No","No","No",2.7554632E7
"Si","No","No","No","No",1.03610063E8
"No","No","No","No","No",1.3355573E7
"No","Si","Si","No","No",2.3641153E7
"Si","Si","Si","Si","No",7851029.0
"No","No","No","No","No",4.3709316E7
"Si","No","No","Si","Si",2.04950473E8
"Si","Si","Si","Si","No",6.2715644E8
"No","No","No","No","No",3.7876761E7
"No","No","No","No","No",3.2795035E7
"No","No","No","No","No",6528002.0
"Si","No","No","No","No",2.0084083E7
"No","No","Si","No","No",5.5275214E7
"No","No","No","No","No",1.38078113E8
"Si","No","Si","No","Si",1.21157208E8
"No","No","No","No","No",3.15061319E8
"No","Si","Si","No","No",925206.0
"No","No","No","No","No",1045865.0
"Si","No","No","No","No",9992633.0
"Si","No","No","No","No",4.9908585E7
"Si","No","Si","Si","No",2.4689207E7
"No","No","No","Si","No",7.8281509E7
"Si","No","Si","No","No",5565134.0
"No","No","No","No","No",6.2E7
"No","No","No","No","No",2.8030279E7
"Si","No","No","No","No",5.6638126E7
"No","No","No","No","No",290176.0
"No","No","No","No","No",284852.0
"No","No","No","No","No",6.4988111E7
"Si","No","No","Si","No",6.5E7
"Si","No","No","No","No",2.2465774E7
"No","No","No","No","No",2.1137979E7
"No","No","No","No","No",2744773.0
"Si","Si","No","Si","Si",5.334027E7
"Si","Si","Si","Si","No",1.4014117E7
"Si","No","Si","No","Si",6.673E7
"Si","Si","No","No","Si",3.83034E7
"No","No","No","No","No",4.4E7
"Si","Si","Si","No","Si",1.2035276E7
"No","Si","Si","No","No",6971109.0
"No","No","No","No","No",2032467.0
"Si","Si","Si","Si","No",5450200.0
"Si","Si","Si","No","No",3231780.0
"No","Si","Si","Si","No",1400000.0
"Si","Si","Si","No","No",2.5170757E7
"No","No","No","No","No",5.3252984E7
"Si","Si","Si","Si","Si",5.5900159E7
"No","Si","No","Si","No",4320314.0
"Si","No","No","No","No",1.86217993E8
"Si","Si","No","Si","Si",7.2226978E7
"No","No","No","No","No",450000.0
"No","No","No","No","No",3.6272567E7
"No","No","No","No","No",1.2879625E8
"Si","Si","Si","Si","No",2.483149E8
"No","No","No","No","No",9500000.0
"No","No","No","No","No",3115800.0
"No","Si","Si","Si","No",2.9609756E7
"No","No","No","No","No",914070.0
"Si","No","No","Si","No",3.3546797E7
"No","No","No","Si","Si",4000000.0
"No","No","No","Si","No",2983307.0
"No","No","No","No","No",6869254.0
"No","No","Si","No","No",9751124.0
"Si","Si","Si","Si","No",6560508.0
"No","No","No","No","No",1.0E7
"No","No","No","No","No",9.43135783E8
"Si","No","Si","Si","No",6593442.0
"Si","No","Si","Si","No",1.7016786E7
"Si","No","No","Si","Si",2.0885E7
"Si","No","No","Si","No",2.6670107E7
"Si","Si","Si","Si","Si",9525884.0
"No","Si","Si","Si","No",15120.0
"No","Si","Si","Si","Si",2707274.0
"Si","Si","No","Si","No",7649651.0
"Si","No","Si","Si","No",5866190.0
"No","No","No","No","No",2.8746E7
"Si","No","Si","No","No",5.203831E7
"Si","No","No","No","No",8.738304E7
"No","No","No","No","No",2.43854589E8
"Si","Si","No","Si","Si",1.19362237E8
"No","No","No","No","No",1.0E7
"No","No","No","No","No",88800.0
"Si","Si","Si","Si","No",1.6E7
"No","No","No","No","No",1.1527357E7
"Si","No","No","No","No",1.8564163E7
"Si","Si","No","No","No",1.5221828E7
"Si","Si","Si","Si","No",3.0224022E7
"Si","No","No","No","No",8638692.0
"No","No","No","Si","No",1078931.0
"No","Si","No","Si","No",4.28E7
"No","No","No","No","No",1.5684767E7
"No","No","No","No","No",383304.0
"No","Si","Si","Si","No",2940552.0
"No","Si","No","Si","No",2.8819861E7
"Si","No","No","Si","No",9062994.0
"Si","Si","Si","No","No",512224.0
"No","No","Si","No","No",1.2015892E7
"No","No","Si","No","No",4.6E7
"Si","No","No","No","No",1.9095699E7
"No","No","No","No","No",7.0859927E7
"No","No","Si","No","No",699171.0
"Si","Si","No","No","No",1.4671347E7
"Si","No","Si","No","No",996109.0
"No","No","No","No","No",5684003.0
"No","No","Si","Si","No",1.34109318E8
"No","No","No","No","No",2.2874978E7
"No","No","No","No","No",5165860.0
"No","No","No","No","No",1500000.0
"Si","No","No","Si","Si",2113192.0
"No","No","No","No","No",9311152.0
"No","No","No","No","No",4420701.0
"No","No","No","No","No",2069480.0
"No","No","No","No","No",1.7E7
"No","No","No","No","No",3.8E7
"No","No","No","No","No",2.9632266E7
"No","No","No","No","No",5332499.0
"No","No","No","Si","No",1.645604E7
"No","Si","Si","Si","No",4.0470061E7
"No","Si","Si","Si","Si",1.6E7
"No","No","No","No","No",6285362.0
"No","No","No","No","No",4.6146239E7
"No","No","No","No","No",559799.0
"No","No","No","No","No",6683393.0
"No","No","No","No","No",9.8123973E7
"Si","No","Si","Si","Si",7286612.0
"No","No","No","No","No",457456.0
"Si","No","No","Si","Si",3264045.0
"Si","Si","Si","Si","No",6155432.0
"Si","No","No","No","No",2.3784701E7
"No","No","No","No","No",879650.0
"Si","No","Si","Si","Si",1.4175573E7
"No","No","No","No","No",9325967.0
"No","No","No","No","No",7976418.0
"Si","No","No","Si","Si",1.1174373E7
"No","No","No","No","No",1307218.0
"No","No","No","No","No",3.7858918E7
"No","No","No","No","No",1287000.0
"No","No","No","No","No",6628035.0
"Si","Si","Si","Si","No",4.7E7
"No","Si","Si","Si","No",1.05334969E8
"No","No","No","No","No",7000000.0
"No","No","Si","Si","No",1.7E7
"Si","Si","No","Si","No",5703000.0
"Si","Si","No","Si","No",5.6107317E7
"No","No","No","No","No",1.1015728E7
"Si","Si","Si","Si","No",5677624.0
"No","No","No","No","No",117092.0
"Si","Si","No","No","No",6295305.0
"No","No","No","No","No",1.3413484E7
"No","No","No","No","No",1465794.0
"No","No","No","Si","No",2.98238E7
"No","No","No","No","No",1.200427E7
"No","No","No","No","No",4605840.0
"No","No","No","No","No",4749027.0
"No","No","No","No","No",1112068.0
"No","No","No","No","No",72116.0
"No","No","No","No","No",1.355279E7
"Si","Si","Si","Si","No",1.0716765E7
"Si","Si","Si","Si","No",1.335305E7
"No","No","No","Si","No",7255562.0
"No","No","No","No","No",3658000.0
"No","No","No","No","No",8876569.0
"No","Si","Si","No","No",2.6E7
"No","No","No","No","No",690000.0
"Si","No","Si","No","No",582687.0
"No","No","Si","Si","No",2.0678064E7
"No","No","No","No","No",1.535762E7
"No","No","No","No","No",1104388.0
"Si","Si","Si","Si","No",3.2386316E7
"No","No","No","No","No",320000.0
"Si","Si","Si","Si","No",1.00161271E8
"Si","Si","Si","Si","No",123123.0
"Si","Si","Si","No","No",1.5259038E7
"No","No","No","No","No",1.3241652E7
"No","No","No","No","No",2949000.0
"No","Si","Si","Si","No",746299.0
"Si","Si","Si","No","No",2.4238453E7
"No","No","No","No","No",2275000.0
"No","No","No","No","No",9738969.0
"Si","No","Si","Si","Si",502497.0
"Si","Si","Si","Si","No",3514137.0
"No","No","Si","No","No",1.516E7
"Si","Si","Si","No","No",5779726.0
"Si","Si","Si","No","No",3546369.0
"No","Si","Si","No","No",8213149.0
"No","No","Si","No","No",1.92E7
"Si","Si","Si","Si","No",1.2334E7
"Si","No","No","No","No",2.421344E7
"Si","No","No","No","No",1.0429662E7
"Si","No","No","No","No",9509000.0
"Si","Si","Si","Si","Si",2107582.0
"No","Si","Si","Si","No",3.418262E7
"No","No","No","No","No",314000.0
"No","No","No","No","No",1342498.0
"No","No","No","No","No",1470335.0
"No","No","No","No","No",1.50797952E8
"No","No","No","No","No",3.8287601E7
"No","No","No","No","No",7360791.0
"No","No","No","No","No",229178.0
"No","No","No","No","No",364492.0
"Si","Si","Si","Si","No",2.4869162E7
"No","No","No","No","No",1000000.0
"Si","No","No","No","No",9275994.0
"Si","Si","Si","Si","No",4.5195515E7
"Si","No","Si","No","No",4.3944536E7
"No","No","Si","No","No",3.32E7
"No","No","No","No","No",3.8E7
"Si","Si","No","Si","No",4.5515727E7
"No","Si","Si","Si","No",1.54699695E8
"Si","No","No","No","No",2.0741057E7
"No","Si","Si","No","No",1.7153803E7
"Si","No","Si","No","No",3479936.0
"No","No","No","No","No",8288545.0
"No","No","No","No","No",524902.0
"No","No","No","No","No",8723987.0
"No","No","No","No","No",4242298.0
"Si","No","No","No","No",4627478.0
"Si","Si","No","No","No",8488529.0
"No","No","No","Si","No",3678438.0
"No","No","No","No","No",2.4558353E7
"No","No","No","No","No",1.2123222E7
"No","No","No","No","No",1398084.0
"No","No","No","No","No",1253313.0
"Si","No","No","No","No",755370.0
"No","No","No","No","No",1.5024895E7
"No","No","No","No","No",1.590673737E9
"No","No","No","No","No",8.6560075E7
"No","No","No","No","No",2257225.0
"No","Si","No","Si","No",575122.0
"Si","No","Si","Si","No",6699850.0
"No","No","No","No","No",1.55E7
"No","No","No","Si","No",2.3888883E7
"Si","No","Si","Si","Si",6.88828E8
"No","No","No","No","Si",1.35532232E8
"No","No","No","Si","No",3548500.0
"No","No","Si","No","No",2253648.0
"No","No","No","No","No",6560007.0
"Si","Si","No","No","Si",496000.0
"Si","No","No","Si","No",1.14606E7
"No","No","No","No","No",4.5010067E7
"No","No","No","No","No",1.2490734E7
"No","No","No","No","No",2.0511E7
"Si","Si","No","Si","No",9396910.0
"Si","Si","Si","No","Si",6.1488254E7
"No","No","No","No","No",8000000.0
"No","No","No","No","No",1391750.0
"No","No","No","No","No",6779329.0
"Si","No","No","Si","No",6435554.0
"No","Si","Si","No","No",2005603.0
"Si","No","No","Si","No",270000.0
"No","No","No","No","No",1.6167E7
"No","Si","No","Si","No",8635000.0
"No","No","No","No","No",3.2287236E7
"No","No","Si","Si","Si",2.8793792E7
"Si","Si","Si","Si","No",1.7845069E7
"Si","Si","No","Si","No",556000.0
"No","Si","Si","No","No",6.4342411E7
"No","Si","Si","No","No",6715905.0
"Si","No","No","Si","No",3652969.0
"Si","Si","Si","No","Si",1.4606622E7
"No","No","No","No","No",980000.0
"No","No","No","No","No",5954850.0
"Si","No","Si","No","No",1.52164904E8
"No","No","No","No","No",3.5285643E7
"No","Si","No","No","No",2.5786661E7
"No","No","Si","No","No",2.4633526E7
"No","No","No","No","No",9.3788291E7
"No","No","No","No","No",7666000.0
"Si","No","Si","No","No",1658435.0
"Si","No","Si","Si","No",1746777.0
"Si","Si","No","Si","No",3000000.0
"Si","No","No","No","No",2.5906718E7
"Si","No","Si","Si","No",5.3094004E7
"No","No","No","No","No",1.0911782E7
"Si","No","Si","Si","No",7.2400949E7
"Si","No","No","No","Si",7.3265529E7
"No","No","No","No","No",8905556.0
"No","Si","Si","Si","No",5500000.0
"No","No","No","No","No",5127737.0
"No","No","No","Si","Si",1.7810971E7
"No","No","No","No","No",1.112475E7
"No","No","Si","Si","Si",3243963.0
"No","No","No","No","No",3612817.0
"No","No","No","No","No",6117208.0
"Si","No","No","No","No",500000.0
"No","No","No","No","No",3.29E7
"No","Si","Si","No","No",165048.0
"Si","No","No","No","No",2.5E7
"No","Si","Si","Si","Si",9451749.0
"Si","No","No","No","No",2.5213571E7
"No","No","No","No","No",2574155.0
"No","No","No","No","No",6622924.0
"Si","Si","Si","Si","No",4.0937345E7
"No","No","No","No","No",5966431.0
"No","No","No","No","No",30000.0
"Si","Si","No","No","No",2.91167085E8
"No","No","No","No","No",1.8595797E7
"No","No","No","No","No",3.7932673E7
"No","No","No","No","No",1.2128E7
"No","No","No","No","No",5.0223299E7
"Si","No","Si","Si","No",8615025.0
"No","No","No","No","No",1.5035491E7
"Si","Si","Si","No","No",8.7362397E7
"No","Si","No","No","No",9255610.0
"Si","No","No","Si","No",2.9166877E7
"No","No","No","No","No",9538293.0
"Si","Si","No","Si","No",248900.0
"Si","No","No","No","No",1.996924E7
"No","No","No","No","No",2364000.0
"No","No","No","No","No",2.4777219E7
"No","No","No","No","No",416000.0
"Si","Si","No","Si","No",681258.0
"No","Si","No","No","No",9958769.0
"Si","Si","Si","Si","No",1.3729032E7
"No","No","No","No","No",1250218.0
"Si","No","Si","Si","No",9.174619E7
"No","No","No","No","No",1.1235097E7
"No","No","No","No","No",5306531.0
"No","No","No","No","No",5332335.0
"No","No","No","No","No",1305707.0
"No","No","Si","Si","No",1.2993943E7
"Si","No","No","No","No",2.1216309E7
"No","No","No","No","No",4.0E7
"Si","Si","Si","No","No",1.3919586E7
"No","No","Si","No","No",9943969.0
"No","No","No","No","No",6615086.0
"No","No","Si","Si","No",1.2328117E7
"No","No","No","No","No",252056.0
"No","No","Si","Si","No",952500.0
"No","No","No","No","No",2.5992419E7
"No","No","No","No","No",2.7221771E7
"No","No","No","Si","No",1.38921375E8
"No","No","No","No","No",2236245.0
"No","No","No","No","No",324915.0
"No","No","No","No","No",9000000.0
"Si","No","No","Si","No",1.6609212E7
"No","No","No","No","No",653802.0
"Si","No","Si","No","No",1.3873285E7
"No","No","No","No","No",8.42545666E8
"No","No","No","No","No",120679.0
"No","Si","Si","No","No",1000000.0
"No","No","No","No","No",4.0E7
"No","Si","Si","No","No",8638695.0
"No","No","No","No","No",375000.0
"Si","Si","Si","Si","No",2.1686913E7
"No","Si","Si","Si","No",5996000.0
"No","No","No","Si","No",232175.0
"No","No","Si","Si","Si",1.1992229E7
"Si","No","No","No","No",3.037E7
"No","No","No","No","No",1.51708533E8
"No","No","No","No","No",7814144.0
"No","No","No","No","No",2725380.0
"No","No","No","Si","No",1.7104E7
"No","Si","No","No","No",955605.0
"No","No","No","Si","No",1.2818739E7
"No","Si","Si","No","No",4.74872946E8
"Si","No","Si","Si","No",1.16637269E8
"No","No","No","No","No",2.728493E7
"No","No","No","No","No",629000.0
"Si","No","No","No","Si",9368150.0
"No","No","No","No","No",1.0139405E7
"No","No","No","No","No",2.313065E7
"Si","Si","Si","No","No",4.51610401E8
"No","No","No","No","No",3.5404826E7
"Si","Si","No","No","No",1.2875428E7
"No","No","No","No","No",2596416.0
"Si","Si","No","No","No",2.00596616E8
"No","No","No","No","No",114090.0
"Si","Si","Si","No","No",1.5695757E7
"No","No","No","No","No",2.7966197E7
"No","No","No","No","No",1.3283E7
"Si","Si","No","Si","No",1.0502142E8
"No","No","No","No","No",1897000.0
"No","No","No","Si","No",607393.0
"No","No","No","No","No",6842352.0
"No","No","No","No","No",4.4665224E7
"No","Si","No","No","No",1.0844421E7
"Si","Si","No","No","No",322558.0
"No","No","Si","Si","No",2315118.0
"No","No","No","No","No",1.5356292E7
"No","No","No","No","No",4585812.0
"Si","No","No","No","No",1365015.0
"No","No","No","No","No",4033940.0
"Si","No","No","No","No",1.7240702E7
"Si","No","No","Si","No",1788521.0
"Si","No","No","No","No",1900000.0
"No","No","No","No","No",7057090.0
"No","Si","Si","No","No",7229310.0
"No","No","No","No","No",6.3733097E7
"No","No","No","No","No",50000.0
"Si","Si","Si","Si","No",5.5736698E7
"No","Si","No","No","No",1500000.0
"No","No","No","No","No",1540000.0
"No","No","No","No","No",7971171.0
"Si","No","No","No","No",3.9253688E7
"No","No","No","Si","No",9000000.0
"Si","No","No","No","No",3.2502445E7
"No","No","No","No","No",8669849.0
"Si","Si","Si","Si","No",1.932523E7
"No","No","No","No","No",5968681.0
"No","No","No","No","No",1.0538172E7
"No","No","No","No","No",2449235.0
"No","No","No","No","No",1.19799784E8
"No","No","No","No","No",7491691.0
"Si","Si","Si","Si","No",1.7292431E7
"No","Si","Si","Si","No",8576299.0
"No","Si","No","No","No",1.3031217E7
"No","No","No","No","No",229918.0
"Si","No","No","Si","No",3.3411479E7
"No","No","No","No","No",7909804.0
"No","No","No","No","No",2.4363E7
"No","No","No","No","No",2.8998868E7
"No","Si","Si","Si","No",6900000.0
"No","No","No","No","No",4.4661235E7
"Si","No","No","No","No",920175.0
"Si","No","No","No","No",3493767.0
"Si","No","No","Si","No",211000.0
"No","No","No","No","No",145113.0
"Si","Si","Si","Si","Si",7500000.0
"No","No","No","Si","No",2500000.0
"Si","No","No","Si","No",5954725.0
"Si","No","Si","Si","No",1370000.0
"No","No","No","No","No",2400000.0
"No","No","No","No","No",7319492.0
"No","Si","Si","Si","No",7187400.0
"No","No","No","No","No",6894254.0
"No","No","No","No","No",311041.0
"Si","No","No","Si","Si",2.8E7
"No","No","No","No","No",1700000.0
"Si","No","Si","Si","No",8433932.0
"Si","No","Si","No","No",696424.0
"Si","No","No","No","No",972286.0
"No","No","No","No","No",1.2930542E7
"Si","No","Si","No","No",6074265.0
"No","No","No","No","No",1.6980869E7
"Si","No","No","Si","No",1.9396925E7
"Si","No","No","Si","No",437093.0
"Si","Si","No","Si","No",5340346.0
"Si","No","No","No","No",2.0783039E7
"No","No","No","No","No",1.54542105E8
"No","Si","Si","Si","No",9213194.0
"No","No","No","No","No",1.498E7
"No","No","No","Si","No",4579049.0
"No","No","No","No","No",742370.0
"No","No","No","No","No",3915804.0
"No","No","No","No","No",8352812.0
"No","No","No","No","No",1.2665174E7
"No","No","No","No","No",1.7003389E7
"No","No","No","No","No",1.9394594E7
"No","No","Si","Si","No",1.3871E7
"Si","Si","No","Si","No",3.3033039E7
"Si","No","No","No","No",6800000.0
"No","Si","Si","Si","No",894132.0
"Si","No","No","Si","No",1.0119387E7
"Si","Si","Si","Si","No",1930830.0
"No","No","No","No","No",5604156.0
"No","No","No","No","No",2.3E7
"No","No","No","No","No",5029000.0
"Si","No","No","No","No",3665822.0
"No","Si","Si","No","No",7400000.0
"Si","Si","Si","Si","No",1500000.0
"Si","Si","Si","Si","No",5777543.0
"No","No","Si","No","No",6742907.0
"No","No","No","No","No",1.9138941E7
"No","No","No","No","No",3186928.0
"No","No","No","No","No",500000.0
"Si","Si","Si","No","No",6463276.0
"No","No","No","No","No",1.3717349E7
"Si","Si","Si","Si","No",2.533185E7
"Si","Si","No","Si","No",3.562874E7
"No","No","Si","No","No",473000.0
"No","No","No","No","No",7.1776122E7
"No","No","No","No","No",3.3877292E7
"No","No","No","No","No",293827.0
