"Maquinaria","Hardware","Software","CapacitacionP","EstudioMer","Ventas_anuales2014"
"No","No","No","No","No",2057686.0
"Si","No","No","No","No",3487950.0
"No","No","No","No","No",879967.0
"No","No","No","No","No",88000.0
"No","No","No","No","No",346830.0
"No","No","No","No","No",1.5892532E7
"No","No","No","No","No",4.206629E7
"No","No","No","No","No",1.1084955E7
"No","No","No","No","No",680000.0
"No","No","No","No","No",7461980.0
"No","No","No","No","No",1804390.0
"No","No","No","No","No",4694167.0
"Si","Si","Si","Si","No",4.8942986E7
"No","No","No","No","No",92000.0
"No","No","Si","Si","Si",9000000.0
"No","No","No","No","No",3546883.0
"No","No","No","No","No",740000.0
"Si","No","No","Si","No",9716904.0
"No","No","No","No","No",6750672.0
"No","No","No","No","No",2.4211185E7
"No","No","No","No","No",1.3496E7
"Si","No","No","Si","No",347577.0
"No","No","No","No","No",7631254.0
"Si","No","No","No","No",1374893.0
"No","No","No","No","No",3267763.0
"Si","No","No","No","No",3527633.0
"No","No","No","No","No",9488649.0
"No","No","No","No","No",459561.0
"No","No","No","No","No",426912.0
"No","No","No","No","No",3.468449E7
"No","No","No","No","No",6232898.0
"No","No","No","No","No",4184840.0
"No","No","No","No","No",539708.0
"No","No","No","No","No",3.1215938E7
"No","No","No","No","No",700000.0
"No","No","No","No","No",2320000.0
"No","No","No","No","No",1200000.0
"No","No","No","No","No",3236737.0
"Si","No","No","No","No",1840963.0
"Si","No","No","Si","Si",5.5416371E7
"No","No","No","No","No",2.5689789E7
"No","No","No","No","No",1.3521285E7
"No","No","No","No","No",5577000.0
"Si","No","No","Si","No",1.4434273E7
"No","No","No","No","No",4200000.0
"No","No","No","No","No",735839.0
"No","Si","No","No","No",250000.0
"Si","No","Si","No","No",790000.0
"No","No","No","No","No",1313924.0
"No","No","No","No","No",90000.0
"No","No","No","No","No",1328906.0
"Si","No","Si","No","Si",6999996.0
"Si","No","No","No","No",7000000.0
"No","No","No","No","No",2590000.0
"Si","Si","Si","Si","No",1478636.0
"No","No","No","No","No",960186.0
"No","No","No","No","No",2.71318825E8
"No","No","No","No","No",1956947.0
"No","No","No","No","No",7192994.0
"No","No","No","No","No",125746.0
"No","No","No","No","No",2296602.0
"No","No","No","No","No",1440839.0
"Si","Si","Si","Si","No",310000.0
"Si","No","No","No","No",1.4257524E7
"No","No","No","No","No",1.0E7
"Si","No","No","No","No",1067142.0
"No","No","No","No","No",543000.0
"No","No","No","No","No",462561.0
"No","No","No","No","No",120000.0
"No","No","No","No","No",4.0706701E7
"No","No","No","No","No",9417934.0
"Si","No","No","No","No",1.2300829E7
"No","No","No","No","No",1731458.0
"No","No","No","No","No",4.3940385E7
"No","No","No","No","No",2291499.0
"No","No","No","No","No",628780.0
"Si","No","Si","Si","No",1378644.0
"No","No","No","No","No",348091.0
"No","No","No","No","No",9340322.0
"Si","Si","Si","No","No",140000.0
"Si","No","No","No","No",2433318.0
"No","No","No","No","No",801530.0
"No","No","No","No","No",293845.0
"Si","No","No","Si","Si",6000000.0
"Si","Si","Si","No","Si",1790915.0
"No","No","No","No","No",660499.0
"No","Si","Si","Si","No",7797971.0
"No","No","No","No","No",1800000.0
"Si","No","No","Si","No",888700.0
"Si","No","No","No","No",350000.0
"No","No","No","No","No",70000.0
"Si","No","No","No","No",945575.0
"No","No","No","No","No",1.9683465E7
"No","No","No","No","No",915625.0
"Si","Si","No","Si","No",1.6E7
"No","No","No","No","No",5.9925659E7
"No","No","No","No","No",715699.0
"Si","Si","No","No","No",1.1860805E7
"No","No","No","No","No",1417804.0
"No","No","No","Si","No",1300000.0
"Si","Si","No","No","No",7114197.0
"No","No","No","No","No",9523000.0
"No","No","No","No","No",660015.0
"No","No","No","No","No",6789603.0
"No","No","No","No","No",1945600.0
"Si","No","No","No","No",2973643.0
"No","No","No","No","No",4010540.0
"Si","No","No","No","No",9011208.0
"Si","Si","No","No","No",4.2325813E7
"No","No","No","No","Si",773746.0
"No","No","No","No","No",253145.0
"No","No","No","No","No",1000000.0
"No","No","No","No","No",868684.0
"No","No","No","No","No",6254836.0
"No","No","No","No","No",1000000.0
"No","No","No","No","No",8929805.0
"Si","No","No","No","No",2.5855154E7
"No","No","No","No","No",310000.0
"Si","No","No","No","No",1471442.0
